level_0,index,Tb
167,176,608.689
168,177,-1000.0
169,178,-1000.0
170,179,-1000.0
171,180,-1000.0
172,181,-1000.0
173,182,-1000.0
174,183,-1000.0
175,185,-1000.0
176,186,-1000.0
177,187,-1000.0
178,188,-1000.0
179,189,-1000.0
180,190,-1000.0
181,191,-1000.0
182,192,-1000.0
183,193,-1000.0
184,194,-1000.0
185,195,-1000.0
186,196,-1000.0
187,197,-1000.0
188,198,-1000.0
189,199,-1000.0
190,201,-1000.0
191,202,-1000.0
192,203,-1000.0
193,205,-1000.0
194,206,-1000.0
195,207,-1000.0
196,208,-1000.0
197,210,-1000.0
198,211,-1000.0
199,212,-1000.0
200,213,-1000.0
201,214,-1000.0
202,215,-1000.0
203,216,-1000.0
204,218,-1000.0
205,219,-1000.0
206,220,-1000.0
207,221,-1000.0
208,222,-1000.0
209,223,-1000.0
210,224,-1000.0
211,225,-1000.0
212,226,-1000.0
213,227,-1000.0
214,228,-1000.0
215,229,-1000.0
216,230,-1000.0
217,231,-1000.0
218,232,-1000.0
219,233,-1000.0
220,234,-1000.0
221,235,-1000.0
222,237,-1000.0
223,239,-1000.0
224,240,-1000.0
225,241,-1000.0
226,242,-1000.0
227,243,-1000.0
228,244,-1000.0
229,245,-1000.0
230,246,-1000.0
231,247,-1000.0
232,248,-1000.0
233,249,-1000.0
234,250,587.304
235,252,-1000.0
236,253,-1000.0
237,254,-1000.0
238,255,-1000.0
239,256,-1000.0
240,257,-1000.0
241,258,-1000.0
242,259,-1000.0
243,260,-1000.0
244,261,-1000.0
245,262,-1000.0
246,264,-1000.0
247,265,-1000.0
248,266,-1000.0
249,267,-1000.0
250,268,-1000.0
251,269,-1000.0
252,270,-1000.0
253,271,-1000.0
254,272,-1000.0
255,273,-1000.0
256,274,-1000.0
257,275,-1000.0
258,276,-1000.0
259,277,-1000.0
260,278,-1000.0
261,279,-1000.0
262,280,-1000.0
263,281,-1000.0
264,282,-1000.0
265,283,-1000.0
266,284,-1000.0
267,285,-1000.0
268,286,-1000.0
269,287,-1000.0
270,288,-1000.0
271,289,-1000.0
272,290,-1000.0
273,291,-1000.0
274,292,-1000.0
275,293,-1000.0
276,294,-1000.0
277,295,-1000.0
278,296,-1000.0
279,297,-1000.0
280,298,-1000.0
281,299,-1000.0
282,300,-1000.0
283,301,-1000.0
284,302,-1000.0
285,303,-1000.0
286,304,-1000.0
287,305,-1000.0
288,306,642.4
289,307,-1000.0
290,308,-1000.0
291,309,-1000.0
292,310,-1000.0
293,311,-1000.0
294,312,-1000.0
295,313,-1000.0
296,314,-1000.0
297,315,-1000.0
298,316,-1000.0
299,317,-1000.0
300,318,-1000.0
301,319,-1000.0
302,320,-1000.0
303,321,-1000.0
304,322,-1000.0
305,323,-1000.0
306,324,-1000.0
307,325,-1000.0
308,326,-1000.0
309,327,-1000.0
310,328,-1000.0
311,329,581.799
312,330,-1000.0
313,332,-1000.0
314,333,-1000.0
315,334,-1000.0
316,335,-1000.0
317,336,-1000.0
318,337,-1000.0
319,338,-1000.0
320,340,-1000.0
321,341,-1000.0
322,342,-1000.0
323,343,-1000.0
324,344,-1000.0
325,345,-1000.0
326,346,-1000.0
327,347,-1000.0
328,348,-1000.0
329,349,-1000.0
330,350,-1000.0
331,351,-1000.0
332,352,-1000.0
333,353,-1000.0
334,354,501.791
335,355,-1000.0
336,356,-1000.0
337,357,614.369
338,358,-1000.0
339,359,-1000.0
340,360,-1000.0
341,361,-1000.0
342,362,-1000.0
343,363,-1000.0
344,364,-1000.0
345,365,-1000.0
346,366,-1000.0
347,367,-1000.0
348,368,-1000.0
349,369,-1000.0
350,370,-1000.0
351,371,-1000.0
352,372,-1000.0
353,373,-1000.0
354,374,-1000.0
355,375,-1000.0
356,376,-1000.0
357,377,-1000.0
358,378,-1000.0
359,379,-1000.0
360,380,-1000.0
361,381,-1000.0
362,382,-1000.0
363,383,-1000.0
364,384,-1000.0
365,385,-1000.0
366,386,601.984
367,387,-1000.0
368,388,-1000.0
369,389,-1000.0
370,390,-1000.0
371,391,-1000.0
372,392,-1000.0
373,393,-1000.0
374,394,629.979
375,395,-1000.0
376,396,-1000.0
377,397,-1000.0
378,398,-1000.0
379,399,-1000.0
380,400,-1000.0
381,401,-1000.0
382,402,-1000.0
383,403,-1000.0
384,404,-1000.0
385,405,-1000.0
386,406,-1000.0
387,407,-1000.0
388,408,-1000.0
389,409,-1000.0
390,410,-1000.0
391,411,-1000.0
392,412,-1000.0
393,413,-1000.0
394,414,-1000.0
395,415,-1000.0
396,416,-1000.0
397,417,-1000.0
398,418,-1000.0
399,419,-1000.0
400,420,-1000.0
401,421,-1000.0
402,422,-1000.0
403,423,-1000.0
404,424,-1000.0
405,425,-1000.0
406,426,-1000.0
407,427,-1000.0
408,428,-1000.0
409,429,-1000.0
410,430,-1000.0
411,431,-1000.0
412,432,-1000.0
413,433,-1000.0
414,434,-1000.0
415,435,-1000.0
416,436,-1000.0
417,437,-1000.0
418,438,-1000.0
419,439,-1000.0
420,440,-1000.0
421,441,-1000.0
422,442,-1000.0
423,444,-1000.0
424,445,-1000.0
425,446,-1000.0
426,447,-1000.0
427,448,-1000.0
428,449,-1000.0
429,450,-1000.0
430,451,-1000.0
431,452,-1000.0
432,453,-1000.0
433,455,-1000.0
434,456,-1000.0
435,457,-1000.0
436,458,-1000.0
437,459,-1000.0
438,460,-1000.0
439,461,-1000.0
440,463,-1000.0
441,464,-1000.0
442,465,-1000.0
443,466,-1000.0
444,467,-1000.0
445,468,-1000.0
446,469,-1000.0
447,471,-1000.0
448,472,-1000.0
449,473,-1000.0
450,474,-1000.0
451,475,-1000.0
452,476,-1000.0
453,478,-1000.0
454,479,-1000.0
455,480,-1000.0
456,481,-1000.0
457,482,-1000.0
458,483,-1000.0
459,484,-1000.0
460,485,-1000.0
461,486,-1000.0
462,487,-1000.0
463,488,-1000.0
464,489,-1000.0
465,490,-1000.0
466,491,-1000.0
467,492,-1000.0
468,494,617.316
469,495,-1000.0
470,496,-1000.0
471,497,-1000.0
472,498,-1000.0
473,499,-1000.0
474,500,-1000.0
475,501,614.148
476,502,-1000.0
477,503,-1000.0
478,504,-1000.0
479,505,-1000.0
480,506,-1000.0
481,507,-1000.0
482,508,-1000.0
483,509,-1000.0
484,510,-1000.0
485,511,-1000.0
486,512,-1000.0
487,513,-1000.0
488,514,-1000.0
489,515,-1000.0
490,516,-1000.0
491,517,-1000.0
492,518,-1000.0
493,519,-1000.0
494,521,-1000.0
495,522,-1000.0
496,523,-1000.0
497,524,-1000.0
498,525,-1000.0
499,526,-1000.0
500,527,-1000.0
501,528,-1000.0
502,529,-1000.0
503,530,-1000.0
504,531,-1000.0
505,532,-1000.0
506,533,-1000.0
507,535,-1000.0
508,536,-1000.0
509,537,-1000.0
510,538,-1000.0
511,539,-1000.0
512,540,-1000.0
513,541,-1000.0
514,542,-1000.0
515,543,-1000.0
516,544,-1000.0
517,545,-1000.0
518,546,-1000.0
519,547,-1000.0
520,548,-1000.0
521,549,-1000.0
522,550,-1000.0
523,551,-1000.0
524,552,-1000.0
525,553,-1000.0
526,554,-1000.0
527,555,-1000.0
528,556,-1000.0
529,557,-1000.0
530,558,-1000.0
531,559,-1000.0
532,560,-1000.0
533,561,-1000.0
534,562,-1000.0
535,563,-1000.0
536,564,-1000.0
537,565,-1000.0
538,566,-1000.0
539,567,-1000.0
540,568,-1000.0
541,569,572.913
542,570,-1000.0
543,571,-1000.0
544,572,-1000.0
545,573,-1000.0
546,574,-1000.0
547,575,-1000.0
548,576,-1000.0
549,577,-1000.0
550,578,-1000.0
551,579,-1000.0
552,580,-1000.0
553,581,-1000.0
554,582,-1000.0
555,583,-1000.0
556,584,-1000.0
557,585,-1000.0
558,586,-1000.0
559,587,-1000.0
560,588,-1000.0
561,590,-1000.0
562,591,-1000.0
563,592,-1000.0
564,593,621.636
565,594,-1000.0
566,595,-1000.0
567,596,-1000.0
568,597,-1000.0
569,598,-1000.0
570,599,-1000.0
571,601,-1000.0
572,602,-1000.0
573,603,-1000.0
574,604,-1000.0
575,605,-1000.0
576,607,-1000.0
577,608,580.132
578,609,-1000.0
579,610,-1000.0
580,612,-1000.0
581,613,-1000.0
582,614,-1000.0
583,615,-1000.0
584,616,-1000.0
585,617,-1000.0
586,618,-1000.0
587,619,-1000.0
588,620,-1000.0
589,621,-1000.0
590,622,-1000.0
591,623,-1000.0
592,624,-1000.0
593,625,-1000.0
594,626,-1000.0
595,627,-1000.0
596,628,-1000.0
597,629,-1000.0
598,630,-1000.0
599,631,-1000.0
600,632,-1000.0
601,633,-1000.0
602,634,-1000.0
603,635,-1000.0
604,636,-1000.0
605,637,-1000.0
606,638,-1000.0
607,639,-1000.0
608,640,-1000.0
609,641,-1000.0
610,642,-1000.0
611,643,-1000.0
612,644,-1000.0
613,645,-1000.0
614,646,-1000.0
615,647,-1000.0
616,648,-1000.0
617,649,-1000.0
618,650,-1000.0
619,653,-1000.0
620,655,-1000.0
621,656,-1000.0
622,657,-1000.0
623,658,-1000.0
624,659,-1000.0
625,661,-1000.0
626,662,-1000.0
627,664,-1000.0
628,665,-1000.0
629,666,-1000.0
630,667,-1000.0
631,668,-1000.0
632,669,-1000.0
633,670,-1000.0
634,671,-1000.0
635,672,-1000.0
636,673,-1000.0
637,674,571.602
638,675,-1000.0
639,676,-1000.0
640,677,-1000.0
641,678,-1000.0
642,679,-1000.0
643,680,-1000.0
644,681,-1000.0
645,682,-1000.0
646,683,-1000.0
647,684,-1000.0
648,685,-1000.0
649,686,-1000.0
650,687,-1000.0
651,688,-1000.0
652,689,-1000.0
653,690,-1000.0
654,691,-1000.0
655,692,-1000.0
656,693,-1000.0
657,694,-1000.0
658,695,-1000.0
659,696,-1000.0
660,697,-1000.0
661,698,-1000.0
662,700,-1000.0
663,701,-1000.0
664,702,-1000.0
665,703,-1000.0
666,704,-1000.0
667,705,-1000.0
668,706,-1000.0
669,707,-1000.0
670,708,-1000.0
671,709,550.959
672,710,-1000.0
673,712,-1000.0
674,713,562.98
675,714,-1000.0
676,715,-1000.0
677,716,-1000.0
678,717,-1000.0
679,718,-1000.0
680,719,-1000.0
681,720,-1000.0
682,722,-1000.0
683,723,-1000.0
684,724,-1000.0
685,725,-1000.0
686,726,-1000.0
687,727,-1000.0
688,728,-1000.0
689,729,-1000.0
690,730,650.961
691,731,-1000.0
692,732,-1000.0
693,733,-1000.0
694,734,-1000.0
695,735,-1000.0
696,736,-1000.0
697,737,-1000.0
698,739,-1000.0
699,740,-1000.0
700,742,-1000.0
701,743,-1000.0
702,744,-1000.0
703,745,-1000.0
704,746,-1000.0
705,747,-1000.0
706,748,-1000.0
707,749,-1000.0
708,750,-1000.0
709,751,-1000.0
710,752,-1000.0
711,754,-1000.0
712,755,-1000.0
713,756,-1000.0
714,757,-1000.0
715,758,-1000.0
716,759,-1000.0
717,760,-1000.0
718,762,-1000.0
719,763,-1000.0
720,764,-1000.0
721,765,-1000.0
722,766,-1000.0
723,767,-1000.0
724,768,-1000.0
725,769,-1000.0
726,770,-1000.0
727,771,-1000.0
728,772,-1000.0
729,773,-1000.0
730,774,-1000.0
731,775,-1000.0
732,776,580.314
733,777,-1000.0
734,778,-1000.0
735,779,-1000.0
736,780,-1000.0
737,781,-1000.0
738,782,-1000.0
739,783,-1000.0
740,784,-1000.0
741,786,-1000.0
742,787,-1000.0
743,788,-1000.0
744,789,-1000.0
745,790,-1000.0
746,791,-1000.0
747,792,-1000.0
748,793,-1000.0
749,794,-1000.0
750,795,-1000.0
751,797,599.289
752,798,-1000.0
753,799,-1000.0
754,800,-1000.0
755,801,-1000.0
756,803,-1000.0
757,804,-1000.0
758,805,-1000.0
759,806,-1000.0
760,807,-1000.0
761,808,-1000.0
762,809,-1000.0
763,810,-1000.0
764,812,-1000.0
765,813,-1000.0
766,814,-1000.0
767,815,-1000.0
768,816,-1000.0
769,817,-1000.0
770,818,-1000.0
771,820,-1000.0
772,821,-1000.0
773,822,-1000.0
774,823,-1000.0
775,824,-1000.0
776,825,537.037
777,826,-1000.0
778,827,-1000.0
779,828,-1000.0
780,829,-1000.0
781,830,669.779
782,831,-1000.0
783,833,-1000.0
784,834,-1000.0
785,835,-1000.0
786,836,-1000.0
787,837,-1000.0
788,838,-1000.0
789,839,-1000.0
790,840,-1000.0
791,841,-1000.0
792,842,-1000.0
793,843,-1000.0
794,844,-1000.0
795,845,-1000.0
796,846,-1000.0
797,847,-1000.0
798,848,-1000.0
799,849,-1000.0
800,850,-1000.0
801,851,-1000.0
802,852,-1000.0
803,853,-1000.0
804,854,-1000.0
805,855,-1000.0
806,857,-1000.0
807,858,-1000.0
808,859,-1000.0
809,860,-1000.0
810,861,-1000.0
811,862,-1000.0
812,863,620.895
813,864,-1000.0
814,865,-1000.0
815,866,-1000.0
816,868,-1000.0
817,869,-1000.0
818,870,-1000.0
819,871,-1000.0
820,872,-1000.0
821,873,-1000.0
822,874,-1000.0
823,875,-1000.0
824,876,-1000.0
825,877,-1000.0
826,878,-1000.0
827,879,-1000.0
828,881,-1000.0
829,882,-1000.0
830,883,-1000.0
831,884,-1000.0
832,885,-1000.0
833,886,-1000.0
834,887,-1000.0
835,888,-1000.0
836,889,-1000.0
837,890,716.387
838,891,-1000.0
839,892,-1000.0
840,893,-1000.0
841,894,-1000.0
842,895,-1000.0
843,896,-1000.0
844,897,692.121
845,898,-1000.0
846,899,-1000.0
847,900,-1000.0
848,901,-1000.0
849,902,-1000.0
850,903,-1000.0
851,904,-1000.0
852,905,-1000.0
853,906,-1000.0
854,907,-1000.0
855,908,-1000.0
856,909,-1000.0
857,910,-1000.0
858,911,-1000.0
859,912,-1000.0
860,913,-1000.0
861,914,-1000.0
862,915,-1000.0
863,916,-1000.0
864,917,-1000.0
865,918,-1000.0
866,919,-1000.0
867,920,667.346
868,921,-1000.0
869,923,-1000.0
870,924,-1000.0
871,925,-1000.0
872,926,-1000.0
873,927,-1000.0
874,928,-1000.0
875,930,-1000.0
876,931,-1000.0
877,932,-1000.0
878,933,-1000.0
879,934,610.557
880,935,-1000.0
881,936,-1000.0
882,937,-1000.0
883,938,-1000.0
884,939,-1000.0
885,940,-1000.0
886,941,622.496
887,942,-1000.0
888,943,-1000.0
889,944,-1000.0
890,945,-1000.0
891,946,-1000.0
892,947,-1000.0
893,948,-1000.0
894,949,-1000.0
895,950,-1000.0
896,951,-1000.0
897,952,-1000.0
898,953,-1000.0
899,954,625.909
900,955,-1000.0
901,957,-1000.0
902,958,-1000.0
903,959,-1000.0
904,960,-1000.0
905,961,-1000.0
906,962,-1000.0
907,964,-1000.0
908,965,-1000.0
909,966,-1000.0
910,967,-1000.0
911,968,-1000.0
912,969,-1000.0
913,970,-1000.0
914,971,-1000.0
915,972,-1000.0
916,973,-1000.0
917,974,-1000.0
918,975,-1000.0
919,976,-1000.0
920,977,-1000.0
921,978,-1000.0
922,979,-1000.0
923,980,-1000.0
924,981,-1000.0
925,982,-1000.0
926,983,-1000.0
927,985,-1000.0
928,986,-1000.0
929,987,-1000.0
930,988,681.639
931,989,-1000.0
932,990,-1000.0
933,991,-1000.0
934,992,-1000.0
935,993,-1000.0
936,994,-1000.0
937,995,-1000.0
938,996,-1000.0
939,997,-1000.0
940,998,-1000.0
941,999,-1000.0
942,1000,-1000.0
943,1001,-1000.0
944,1002,-1000.0
945,1004,-1000.0
946,1005,-1000.0
947,1006,-1000.0
948,1007,-1000.0
949,1008,-1000.0
950,1009,-1000.0
951,1010,-1000.0
952,1011,-1000.0
953,1012,-1000.0
954,1013,-1000.0
955,1014,-1000.0
956,1015,-1000.0
957,1016,-1000.0
958,1017,-1000.0
959,1018,-1000.0
960,1019,-1000.0
961,1020,-1000.0
962,1022,-1000.0
963,1024,595.384
964,1025,-1000.0
965,1027,-1000.0
966,1028,-1000.0
967,1029,-1000.0
968,1030,-1000.0
969,1032,-1000.0
970,1035,-1000.0
971,1036,-1000.0
972,1037,-1000.0
973,1038,-1000.0
974,1039,-1000.0
975,1042,-1000.0
976,1043,-1000.0
977,1044,-1000.0
978,1045,-1000.0
979,1046,-1000.0
980,1047,-1000.0
981,1048,544.646
982,1049,-1000.0
983,1050,-1000.0
984,1051,-1000.0
985,1052,-1000.0
986,1053,-1000.0
987,1054,-1000.0
988,1056,-1000.0
989,1057,-1000.0
990,1058,-1000.0
991,1059,-1000.0
992,1060,-1000.0
993,1061,-1000.0
994,1062,-1000.0
995,1063,-1000.0
996,1064,-1000.0
997,1065,-1000.0
998,1066,-1000.0
999,1068,-1000.0
1000,1069,-1000.0
1001,1070,-1000.0
1002,1071,-1000.0
1003,1072,-1000.0
1004,1073,-1000.0
1005,1074,-1000.0
1006,1075,-1000.0
1007,1076,-1000.0
1008,1077,-1000.0
1009,1078,-1000.0
1010,1079,580.427
1011,1080,-1000.0
1012,1081,-1000.0
1013,1082,-1000.0
1014,1083,-1000.0
1015,1084,-1000.0
1016,1085,-1000.0
1017,1086,-1000.0
1018,1087,-1000.0
1019,1088,-1000.0
1020,1089,-1000.0
1021,1090,-1000.0
1022,1091,-1000.0
1023,1092,-1000.0
1024,1093,-1000.0
1025,1094,-1000.0
1026,1095,-1000.0
1027,1096,-1000.0
1028,1097,-1000.0
1029,1098,-1000.0
1030,1099,-1000.0
1031,1100,-1000.0
1032,1101,-1000.0
1033,1102,-1000.0
1034,1103,-1000.0
1035,1104,-1000.0
1036,1105,-1000.0
1037,1106,-1000.0
1038,1107,-1000.0
1039,1108,-1000.0
1040,1109,-1000.0
1041,1110,-1000.0
1042,1112,-1000.0
1043,1113,-1000.0
1044,1114,-1000.0
1045,1115,-1000.0
1046,1117,-1000.0
1047,1118,-1000.0
1048,1119,-1000.0
1049,1120,-1000.0
1050,1121,-1000.0
1051,1122,-1000.0
1052,1123,-1000.0
1053,1124,-1000.0
1054,1125,-1000.0
1055,1126,-1000.0
1056,1127,-1000.0
1057,1128,-1000.0
1058,1129,-1000.0
1059,1130,-1000.0
1060,1131,-1000.0
1061,1132,-1000.0
1062,1133,698.203
1063,1134,-1000.0
1064,1135,-1000.0
1065,1136,-1000.0
1066,1137,-1000.0
1067,1138,-1000.0
1068,1139,-1000.0
1069,1140,-1000.0
1070,1141,-1000.0
1071,1142,-1000.0
1072,1144,-1000.0
1073,1145,-1000.0
1074,1146,-1000.0
1075,1147,-1000.0
1076,1148,-1000.0
1077,1150,-1000.0
1078,1152,-1000.0
1079,1153,-1000.0
1080,1154,659.322
1081,1156,-1000.0
1082,1157,-1000.0
1083,1158,-1000.0
1084,1159,-1000.0
1085,1160,-1000.0
1086,1161,-1000.0
1087,1162,-1000.0
1088,1163,-1000.0
1089,1164,-1000.0
1090,1165,-1000.0
1091,1166,-1000.0
1092,1167,-1000.0
1093,1168,-1000.0
1094,1169,-1000.0
1095,1171,-1000.0
1096,1172,-1000.0
1097,1174,-1000.0
1098,1175,-1000.0
1099,1176,-1000.0
1100,1177,-1000.0
1101,1178,-1000.0
1102,1179,-1000.0
1103,1181,-1000.0
1104,1182,-1000.0
1105,1183,431.088
1106,1184,-1000.0
1107,1185,-1000.0
1108,1187,-1000.0
1109,1188,-1000.0
1110,1189,-1000.0
1111,1190,-1000.0
1112,1191,-1000.0
1113,1192,-1000.0
1114,1193,550.024
1115,1194,-1000.0
1116,1195,-1000.0
1117,1196,-1000.0
1118,1197,-1000.0
1119,1198,-1000.0
1120,1199,-1000.0
1121,1200,-1000.0
1122,1201,-1000.0
1123,1202,-1000.0
1124,1204,-1000.0
1125,1205,-1000.0
1126,1206,-1000.0
1127,1207,-1000.0
1128,1208,-1000.0
1129,1209,-1000.0
1130,1210,-1000.0
1131,1212,-1000.0
1132,1213,-1000.0
1133,1215,-1000.0
1134,1216,-1000.0
1135,1217,-1000.0
1136,1218,-1000.0
1137,1219,622.142
1138,1220,-1000.0
1139,1221,-1000.0
1140,1222,-1000.0
1141,1223,-1000.0
1142,1224,-1000.0
1143,1225,-1000.0
1144,1226,-1000.0
1145,1227,-1000.0
1146,1228,-1000.0
1147,1229,-1000.0
1148,1230,-1000.0
1149,1231,-1000.0
1150,1232,-1000.0
1151,1233,-1000.0
1152,1234,-1000.0
1153,1236,-1000.0
1154,1237,-1000.0
1155,1238,-1000.0
1156,1239,-1000.0
1157,1240,-1000.0
1158,1241,-1000.0
1159,1242,-1000.0
1160,1243,-1000.0
1161,1244,-1000.0
1162,1245,-1000.0
1163,1246,-1000.0
1164,1248,-1000.0
1165,1250,-1000.0
1166,1251,-1000.0
1167,1252,-1000.0
1168,1253,-1000.0
1169,1254,-1000.0
1170,1256,-1000.0
1171,1257,-1000.0
1172,1258,-1000.0
1173,1259,-1000.0
1174,1260,-1000.0
1175,1261,-1000.0
1176,1262,591.237
1177,1263,-1000.0
1178,1264,-1000.0
1179,1265,-1000.0
1180,1266,-1000.0
1181,1267,-1000.0
1182,1268,-1000.0
1183,1269,-1000.0
1184,1270,-1000.0
1185,1271,-1000.0
1186,1272,-1000.0
1187,1273,-1000.0
1188,1274,-1000.0
1189,1275,-1000.0
1190,1276,-1000.0
1191,1277,-1000.0
1192,1278,-1000.0
1193,1279,-1000.0
1194,1280,-1000.0
1195,1281,499.227
1196,1282,-1000.0
1197,1283,-1000.0
1198,1284,-1000.0
1199,1285,-1000.0
1200,1286,-1000.0
1201,1287,-1000.0
1202,1288,-1000.0
1203,1289,-1000.0
1204,1290,-1000.0
1205,1291,-1000.0
1206,1292,-1000.0
1207,1293,-1000.0
1208,1295,-1000.0
1209,1296,-1000.0
1210,1297,-1000.0
1211,1298,-1000.0
1212,1299,-1000.0
1213,1300,-1000.0
1214,1301,-1000.0
1215,1302,-1000.0
1216,1303,-1000.0
1217,1305,-1000.0
1218,1306,-1000.0
1219,1307,-1000.0
1220,1308,-1000.0
1221,1309,-1000.0
1222,1310,-1000.0
1223,1311,-1000.0
1224,1312,-1000.0
1225,1313,-1000.0
1226,1314,668.291
1227,1315,-1000.0
1228,1316,580.562
1229,1317,-1000.0
1230,1319,-1000.0
1231,1320,-1000.0
1232,1321,-1000.0
1233,1323,-1000.0
1234,1324,-1000.0
1235,1325,-1000.0
1236,1326,-1000.0
1237,1327,-1000.0
1238,1328,-1000.0
1239,1329,-1000.0
1240,1330,-1000.0
1241,1331,693.903
1242,1332,-1000.0
1243,1333,-1000.0
1244,1334,-1000.0
1245,1335,-1000.0
1246,1336,-1000.0
1247,1337,-1000.0
1248,1338,-1000.0
1249,1339,-1000.0
1250,1340,-1000.0
1251,1342,-1000.0
1252,1343,-1000.0
1253,1344,-1000.0
1254,1346,-1000.0
1255,1347,-1000.0
1256,1349,-1000.0
1257,1350,-1000.0
1258,1351,-1000.0
1259,1352,-1000.0
1260,1353,-1000.0
1261,1354,-1000.0
1262,1355,-1000.0
1263,1356,-1000.0
1264,1357,-1000.0
1265,1359,-1000.0
1266,1360,-1000.0
1267,1361,-1000.0
1268,1362,-1000.0
1269,1363,585.064
1270,1364,-1000.0
1271,1365,-1000.0
1272,1366,-1000.0
1273,1367,-1000.0
1274,1368,-1000.0
1275,1369,-1000.0
1276,1370,-1000.0
1277,1371,-1000.0
1278,1372,-1000.0
1279,1373,-1000.0
1280,1374,-1000.0
1281,1375,-1000.0
1282,1376,-1000.0
1283,1377,-1000.0
1284,1378,-1000.0
1285,1379,-1000.0
1286,1380,-1000.0
1287,1381,-1000.0
1288,1382,-1000.0
1289,1383,-1000.0
1290,1384,-1000.0
1291,1385,-1000.0
1292,1386,-1000.0
1293,1387,-1000.0
1294,1388,-1000.0
1295,1390,-1000.0
1296,1391,-1000.0
1297,1392,-1000.0
1298,1393,-1000.0
1299,1394,-1000.0
1300,1395,-1000.0
1301,1396,-1000.0
1302,1397,-1000.0
1303,1398,-1000.0
1304,1399,-1000.0
1305,1400,-1000.0
1306,1401,-1000.0
1307,1402,-1000.0
1308,1403,-1000.0
1309,1404,-1000.0
1310,1405,-1000.0
1311,1406,-1000.0
1312,1407,-1000.0
1313,1408,-1000.0
1314,1409,-1000.0
1315,1410,-1000.0
1316,1411,-1000.0
1317,1412,-1000.0
1318,1413,-1000.0
1319,1414,-1000.0
1320,1415,-1000.0
1321,1416,-1000.0
1322,1417,-1000.0
1323,1418,-1000.0
1324,1420,-1000.0
1325,1421,-1000.0
1326,1422,-1000.0
1327,1423,-1000.0
1328,1424,-1000.0
1329,1425,-1000.0
1330,1426,-1000.0
1331,1427,-1000.0
1332,1428,-1000.0
1333,1429,-1000.0
1334,1430,-1000.0
